exercicio,periodo,uf,instituicao,cod_ibge,valor_bimestre,valor_bimestre_bilhoes,periodo_ref,valor_bimestre_ano_anterior,crescimento_yoy,crescimento_yoy_pct,regiao,destaque
2024,2,PB,Governo do Estado da Paraíba,25,1521622734.65,1.5216227346500002,2024B2,1235403996.72,0.23168027518925904,23.168027518925904,Nordeste,Demais estados do Nordeste
2025,1,PB,Governo do Estado da Paraíba,25,1722006708.3600001,1.7220067083600001,2025B1,1539398533.13,0.11862306693167346,11.862306693167346,Nordeste,Demais estados do Nordeste
2025,2,PB,Governo do Estado da Paraíba,25,1651126399.5700002,1.65112639957,2025B2,1521622734.65,0.08510891824298894,8.510891824298895,Nordeste,Demais estados do Nordeste
2026,1,PB,Governo do Estado da Paraíba,25,1902119353.49,1.90211935349,2026B1,1722006708.3600001,0.10459462454797008,10.45946245479701,Nordeste,Demais estados do Nordeste
2026,2,PB,Governo do Estado da Paraíba,25,1800450339.3,1.8004503393,2026B2,1651126399.5700002,0.09043761868799871,9.043761868799871,Nordeste,Demais estados do Nordeste
2023,1,PE,Governo do Estado de Pernambuco,26,3450766619.71,3.45076661971,2023B1,3334087285.26,0.03499588477057558,3.499588477057558,Nordeste,PE
2023,2,PE,Governo do Estado de Pernambuco,26,3226218604.69,3.22621860469,2023B2,3486283180.31,-0.07459651501886166,-7.459651501886166,Nordeste,PE
2024,1,PE,Governo do Estado de Pernambuco,26,4096357745.58,4.09635774558,2024B1,3450766619.71,0.1870862903861794,18.708629038617943,Nordeste,PE
2024,2,PE,Governo do Estado de Pernambuco,26,4145970589.17,4.14597058917,2024B2,3226218604.69,0.2850866903882283,28.50866903882283,Nordeste,PE
2025,1,PE,Governo do Estado de Pernambuco,26,4576247776.360001,4.576247776360001,2025B1,4096357745.58,0.11715042010132182,11.715042010132182,Nordeste,PE
2025,2,PE,Governo do Estado de Pernambuco,26,4296750201.55,4.29675020155,2025B2,4145970589.17,0.03636774770517248,3.636774770517248,Nordeste,PE
2026,1,PE,Governo do Estado de Pernambuco,26,4705324675.65,4.70532467565,2026B1,4576247776.360001,0.02820583709579383,2.820583709579383,Nordeste,PE
2026,2,PE,Governo do Estado de Pernambuco,26,4636853018.74,4.63685301874,2026B2,4296750201.55,0.07915350002597576,7.9153500025975765,Nordeste,PE
2023,1,PI,Governo do Estado do Piauí,22,959880997.9,0.9598809978999999,2023B1,986519046.96,-0.027002062597864973,-2.7002062597864973,Nordeste,Demais estados do Nordeste
2023,2,PI,Governo do Estado do Piauí,22,913290318.9200001,0.9132903189200001,2023B2,915060186.13,-0.0019341538806153524,-0.19341538806153524,Nordeste,Demais estados do Nordeste
2024,1,PI,Governo do Estado do Piauí,22,1241277513.65,1.24127751365,2024B1,959880997.9,0.2931577105554035,29.315771055540353,Nordeste,Demais estados do Nordeste
2024,2,PI,Governo do Estado do Piauí,22,1142332283.87,1.1423322838699999,2024B2,913290318.9200001,0.2507876851479718,25.07876851479718,Nordeste,Demais estados do Nordeste
2025,1,PI,Governo do Estado do Piauí,22,1290484637.5700002,1.29048463757,2025B1,1241277513.65,0.03964232283182634,3.9642322831826338,Nordeste,Demais estados do Nordeste
2025,2,PI,Governo do Estado do Piauí,22,1251924064.51,1.25192406451,2025B2,1142332283.87,0.0959368672210894,9.593686722108941,Nordeste,Demais estados do Nordeste
2026,1,PI,Governo do Estado do Piauí,22,1511897390.25,1.51189739025,2026B1,1290484637.5700002,0.17157333472556724,17.157333472556722,Nordeste,Demais estados do Nordeste
2026,2,PI,Governo do Estado do Piauí,22,1453760173.1599998,1.4537601731599998,2026B2,1251924064.51,0.16122072765571294,16.122072765571293,Nordeste,Demais estados do Nordeste
2023,1,RN,Governo do Estado do Rio Grande do Norte,24,1233548316.63,1.23354831663,2023B1,1158121857.99,0.06512825754874174,6.512825754874174,Nordeste,Demais estados do Nordeste
2023,2,RN,Governo do Estado do Rio Grande do Norte,24,1234655179.27,1.23465517927,2023B2,1212385573.87,0.018368418331566216,1.8368418331566216,Nordeste,Demais estados do Nordeste
2024,1,RN,Governo do Estado do Rio Grande do Norte,24,1413122982.29,1.41312298229,2024B1,1233548316.63,0.1455757048500459,14.55757048500459,Nordeste,Demais estados do Nordeste
2024,2,RN,Governo do Estado do Rio Grande do Norte,24,1272587743.4299998,1.27258774343,2024B2,1234655179.27,0.030723204986211394,3.0723204986211394,Nordeste,Demais estados do Nordeste
2025,1,RN,Governo do Estado do Rio Grande do Norte,24,1523529280,1.52352928,2025B1,1413122982.29,0.07812929171322658,7.812929171322658,Nordeste,Demais estados do Nordeste
2025,2,RN,Governo do Estado do Rio Grande do Norte,24,1438400901.02,1.43840090102,2025B2,1272587743.4299998,0.13029605105506104,13.029605105506104,Nordeste,Demais estados do Nordeste
2026,1,RN,Governo do Estado do Rio Grande do Norte,24,1670166377.5900002,1.6701663775900002,2026B1,1523529280,0.09624829631761345,9.624829631761344,Nordeste,Demais estados do Nordeste
2026,2,RN,Governo do Estado do Rio Grande do Norte,24,1691896088.58,1.6918960885799998,2026B2,1438400901.02,0.1762340300122458,17.62340300122458,Nordeste,Demais estados do Nordeste
2023,1,SE,Governo do Estado de Sergipe,28,791075971.4000001,0.7910759714000001,2023B1,767727195.69,0.03041285477586242,3.041285477586242,Nordeste,Demais estados do Nordeste
2023,2,SE,Governo do Estado de Sergipe,28,778153282.62,0.77815328262,2023B2,777827302.28,4.190908946555272e-4,0.04190908946555272,Nordeste,Demais estados do Nordeste
2024,1,SE,Governo do Estado de Sergipe,28,905629548.66,0.90562954866,2024B1,791075971.4000001,0.14480730220799098,14.4807302207991,Nordeste,Demais estados do Nordeste
2024,2,SE,Governo do Estado de Sergipe,28,886983068.78,0.88698306878,2024B2,778153282.62,0.13985648919140448,13.985648919140448,Nordeste,Demais estados do Nordeste
2025,1,SE,Governo do Estado de Sergipe,28,1030366685.5699999,1.03036668557,2025B1,905629548.66,0.13773527718322054,13.773527718322054,Nordeste,Demais estados do Nordeste
2025,2,SE,Governo do Estado de Sergipe,28,983736055.48,0.98373605548,2025B2,886983068.78,0.10908098486375706,10.908098486375707,Nordeste,Demais estados do Nordeste
2026,1,SE,Governo do Estado de Sergipe,28,1072680111.63,1.07268011163,2026B1,1030366685.5699999,0.04106637632270904,4.106637632270904,Nordeste,Demais estados do Nordeste
2026,2,SE,Governo do Estado de Sergipe,28,1005602077.5799999,1.0056020775799999,2026B2,983736055.48,0.022227529405060453,2.2227529405060453,Nordeste,Demais estados do Nordeste
