exercicio,periodo,periodo_ref,uf,instituicao,cod_ibge,valor_12m,valor_12m_bilhoes
2024,1,2024B1,ES,Governo do Estado do Espírito Santo,32,18274146783.54,18.27414678354
2024,2,2024B2,ES,Governo do Estado do Espírito Santo,32,18787252064.16,18.78725206416
2025,1,2025B1,ES,Governo do Estado do Espírito Santo,32,21069202472.85,21.069202472849998
2025,2,2025B2,ES,Governo do Estado do Espírito Santo,32,21262781485.75,21.26278148575
2026,1,2026B1,ES,Governo do Estado do Espírito Santo,32,23157126709.71,23.15712670971
2026,2,2026B2,ES,Governo do Estado do Espírito Santo,32,23524854986.09,23.52485498609
2022,1,2022B1,GO,Governo do Estado de Goiás,52,23637569531.73,23.637569531729998
2022,2,2022B2,GO,Governo do Estado de Goiás,52,24291011662.82,24.29101166282
2023,1,2023B1,GO,Governo do Estado de Goiás,52,23818798446.59,23.81879844659
2023,2,2023B2,GO,Governo do Estado de Goiás,52,23329011028.53,23.329011028529997
2024,1,2024B1,GO,Governo do Estado de Goiás,52,24934052885.89,24.93405288589
2024,2,2024B2,GO,Governo do Estado de Goiás,52,25659965438.54,25.659965438540002
2025,1,2025B1,GO,Governo do Estado de Goiás,52,29349627118.6,29.349627118599997
2025,2,2025B2,GO,Governo do Estado de Goiás,52,29873985823.17,29.87398582317
2026,1,2026B1,GO,Governo do Estado de Goiás,52,31319588195.94,31.31958819594
2026,2,2026B2,GO,Governo do Estado de Goiás,52,31738255820.86,31.73825582086
2022,1,2022B1,MA,Governo do Estado do Maranhão,21,9975561097.34,9.97556109734
2022,2,2022B2,MA,Governo do Estado do Maranhão,21,10349229435.04,10.349229435040002
2023,1,2023B1,MA,Governo do Estado do Maranhão,21,11339163676.12,11.33916367612
2023,2,2023B2,MA,Governo do Estado do Maranhão,21,10934468286.15,10.93446828615
2024,1,2024B1,MA,Governo do Estado do Maranhão,21,11174725426.74,11.17472542674
2024,2,2024B2,MA,Governo do Estado do Maranhão,21,12095912678.88,12.09591267888
2025,1,2025B1,MA,Governo do Estado do Maranhão,21,14453877769.67,14.453877769670001
2025,2,2025B2,MA,Governo do Estado do Maranhão,21,14395686329.64,14.39568632964
2026,1,2026B1,MA,Governo do Estado do Maranhão,21,16051055052.34,16.05105505234
2026,2,2026B2,MA,Governo do Estado do Maranhão,21,16607644966.43,16.60764496643
2022,1,2022B1,MG,Governo do Estado de Minas Gerais,31,69209912500.29,69.20991250028999
2022,2,2022B2,MG,Governo do Estado de Minas Gerais,31,71143454906.62,71.14345490662
2023,1,2023B1,MG,Governo do Estado de Minas Gerais,31,69183695132.73,69.18369513273
2023,2,2023B2,MG,Governo do Estado de Minas Gerais,31,69608859529.26,69.60885952925999
2024,1,2024B1,MG,Governo do Estado de Minas Gerais,31,74324364681.49,74.32436468149001
2024,2,2024B2,MG,Governo do Estado de Minas Gerais,31,74457955766.52,74.45795576652
2025,1,2025B1,MG,Governo do Estado de Minas Gerais,31,82831593076.32,82.83159307632
2025,2,2025B2,MG,Governo do Estado de Minas Gerais,31,84489487990.77,84.48948799077
2026,1,2026B1,MG,Governo do Estado de Minas Gerais,31,87897848121.04,87.89784812104
2026,2,2026B2,MG,Governo do Estado de Minas Gerais,31,88600711571.47,88.60071157147
2022,1,2022B1,MS,Governo do Estado do Mato Grosso do Sul,50,12974178245.46,12.97417824546
2022,2,2022B2,MS,Governo do Estado do Mato Grosso do Sul,50,13221199850.04,13.221199850040001
2023,1,2023B1,MS,Governo do Estado do Mato Grosso do Sul,50,14315140894.91,14.31514089491
2023,2,2023B2,MS,Governo do Estado do Mato Grosso do Sul,50,14585383738.06,14.585383738059999
2024,1,2024B1,MS,Governo do Estado do Mato Grosso do Sul,50,15810984884.31,15.810984884309999
2024,2,2024B2,MS,Governo do Estado do Mato Grosso do Sul,50,15942636523.67,15.94263652367
2025,1,2025B1,MS,Governo do Estado do Mato Grosso do Sul,50,17031971167.37,17.03197116737
2025,2,2025B2,MS,Governo do Estado do Mato Grosso do Sul,50,17245542519.78,17.24554251978
2026,1,2026B1,MS,Governo do Estado do Mato Grosso do Sul,50,17615838046.79,17.61583804679
2026,2,2026B2,MS,Governo do Estado do Mato Grosso do Sul,50,17691947392.34,17.69194739234
2022,1,2022B1,MT,Governo do Estado do Mato Grosso,51,19442370796.54,19.44237079654
2022,2,2022B2,MT,Governo do Estado do Mato Grosso,51,20115426180.29,20.11542618029
2023,1,2023B1,MT,Governo do Estado do Mato Grosso,51,19567045051.01,19.56704505101
2023,2,2023B2,MT,Governo do Estado do Mato Grosso,51,19623665654.87,19.62366565487
2024,1,2024B1,MT,Governo do Estado do Mato Grosso,51,21370262370.79,21.37026237079
2024,2,2024B2,MT,Governo do Estado do Mato Grosso,51,21525404968.64,21.52540496864
2025,1,2025B1,MT,Governo do Estado do Mato Grosso,51,23369640342.36,23.36964034236
2025,2,2025B2,MT,Governo do Estado do Mato Grosso,51,23994469004.71,23.994469004709998
2026,1,2026B1,MT,Governo do Estado do Mato Grosso,51,26441846850.8,26.441846850799998
2026,2,2026B2,MT,Governo do Estado do Mato Grosso,51,26920597419.58,26.92059741958
2022,1,2022B1,PA,Governo do Estado do Pará,15,18471454290.12,18.47145429012
2022,2,2022B2,PA,Governo do Estado do Pará,15,19168027767.52,19.16802776752
2023,1,2023B1,PA,Governo do Estado do Pará,15,18910792554.37,18.910792554369998
2023,2,2023B2,PA,Governo do Estado do Pará,15,18768607218.77,18.76860721877
2024,1,2024B1,PA,Governo do Estado do Pará,15,21606025499.83,21.60602549983
2024,2,2024B2,PA,Governo do Estado do Pará,15,22160580618.32,22.16058061832
2025,1,2025B1,PA,Governo do Estado do Pará,15,24599085022.26,24.59908502226
2025,2,2025B2,PA,Governo do Estado do Pará,15,24775750741.41,24.77575074141
2026,1,2026B1,PA,Governo do Estado do Pará,15,25296165260.86,25.29616526086
2026,2,2026B2,PA,Governo do Estado do Pará,15,25596734904.06,25.59673490406
2022,1,2022B1,PB,Governo do Estado da Paraíba,25,7650698323.75,7.65069832375
2022,2,2022B2,PB,Governo do Estado da Paraíba,25,7778183099.1,7.7781830991000005
2023,1,2023B1,PB,Governo do Estado da Paraíba,25,7598298680.17,7.59829868017
2023,2,2023B2,PB,Governo do Estado da Paraíba,25,7612390038.87,7.61239003887
2024,1,2024B1,PB,Governo do Estado da Paraíba,25,8251839163.58,8.25183916358
2024,2,2024B2,PB,Governo do Estado da Paraíba,25,8538057901.51,8.538057901510001
2025,1,2025B1,PB,Governo do Estado da Paraíba,25,9895868148.58,9.89586814858
2025,2,2025B2,PB,Governo do Estado da Paraíba,25,10025371813.5,10.0253718135
2026,1,2026B1,PB,Governo do Estado da Paraíba,25,10734210437.37,10.73421043737
2026,2,2026B2,PB,Governo do Estado da Paraíba,25,10883534377.1,10.8835343771
2022,1,2022B1,PE,Governo do Estado de Pernambuco,26,21001947762.76,21.001947762759997
2022,2,2022B2,PE,Governo do Estado de Pernambuco,26,21419789998.75,21.41978999875
2023,1,2023B1,PE,Governo do Estado de Pernambuco,26,21465162979.71,21.465162979709998
2023,2,2023B2,PE,Governo do Estado de Pernambuco,26,21205098404.09,21.205098404090002
2024,1,2024B1,PE,Governo do Estado de Pernambuco,26,21972669317.63,21.97266931763
2024,2,2024B2,PE,Governo do Estado de Pernambuco,26,22892421302.11,22.89242130211
2025,1,2025B1,PE,Governo do Estado de Pernambuco,26,26636863074.22,26.636863074220003
2025,2,2025B2,PE,Governo do Estado de Pernambuco,26,26787642686.6,26.787642686599998
2026,1,2026B1,PE,Governo do Estado de Pernambuco,26,27764039827.2,27.7640398272
2026,2,2026B2,PE,Governo do Estado de Pernambuco,26,28104142644.39,28.10414264439
2022,1,2022B1,PI,Governo do Estado do Piauí,22,5726070926.4,5.726070926399999
