exercicio,periodo,periodo_ref,uf,instituicao,cod_ibge,valor_12m,valor_12m_bilhoes,valor_12m_ano_anterior,crescimento_yoy,crescimento_yoy_pct,regiao,destaque
2025,1,2025B1,PB,Governo do Estado da Paraíba,25,9895868148.58,9.89586814858,8251839163.58,0.19923182607048662,19.923182607048663,Nordeste,Demais estados do Nordeste
2025,2,2025B2,PB,Governo do Estado da Paraíba,25,10025371813.5,10.0253718135,8538057901.51,0.1741981524541969,17.41981524541969,Nordeste,Demais estados do Nordeste
2026,1,2026B1,PB,Governo do Estado da Paraíba,25,10734210437.37,10.73421043737,9895868148.58,0.08471639639926876,8.471639639926876,Nordeste,Demais estados do Nordeste
2026,2,2026B2,PB,Governo do Estado da Paraíba,25,10883534377.1,10.8835343771,10025371813.5,0.08559907598084426,8.559907598084425,Nordeste,Demais estados do Nordeste
2023,1,2023B1,PE,Governo do Estado de Pernambuco,26,21465162979.71,21.465162979709998,21001947762.76,0.022055821782937635,2.2055821782937635,Nordeste,PE
2023,2,2023B2,PE,Governo do Estado de Pernambuco,26,21205098404.09,21.205098404090002,21419789998.75,-0.010023048530005574,-1.0023048530005574,Nordeste,PE
2024,1,2024B1,PE,Governo do Estado de Pernambuco,26,21972669317.63,21.97266931763,21465162979.71,0.023643255744189906,2.3643255744189906,Nordeste,PE
2024,2,2024B2,PE,Governo do Estado de Pernambuco,26,22892421302.11,22.89242130211,21205098404.09,0.07957156651037067,7.957156651037067,Nordeste,PE
2025,1,2025B1,PE,Governo do Estado de Pernambuco,26,26636863074.22,26.636863074220003,21972669317.63,0.21227251405670744,21.227251405670742,Nordeste,PE
2025,2,2025B2,PE,Governo do Estado de Pernambuco,26,26787642686.6,26.787642686599998,22892421302.11,0.17015331550494284,17.015331550494285,Nordeste,PE
2026,1,2026B1,PE,Governo do Estado de Pernambuco,26,27764039827.2,27.7640398272,26636863074.22,0.04231642253966905,4.231642253966905,Nordeste,PE
2026,2,2026B2,PE,Governo do Estado de Pernambuco,26,28104142644.39,28.10414264439,26787642686.6,0.049145793573263985,4.9145793573263985,Nordeste,PE
2023,1,2023B1,PI,Governo do Estado do Piauí,22,5745918756.64,5.74591875664,5726070926.4,0.003466221514737633,0.3466221514737633,Nordeste,Demais estados do Nordeste
2023,2,2023B2,PI,Governo do Estado do Piauí,22,5744148889.43,5.74414888943,5683373336.69,0.010693570374420647,1.0693570374420647,Nordeste,Demais estados do Nordeste
2024,1,2024B1,PI,Governo do Estado do Piauí,22,7010687069.39,7.01068706939,5745918756.64,0.22011594077769203,22.011594077769203,Nordeste,Demais estados do Nordeste
2024,2,2024B2,PI,Governo do Estado do Piauí,22,7239729034.34,7.23972903434,5744148889.43,0.2603658389952368,26.03658389952368,Nordeste,Demais estados do Nordeste
2025,1,2025B1,PI,Governo do Estado do Piauí,22,7763023360.18,7.76302336018,7010687069.39,0.10731277595812894,10.731277595812895,Nordeste,Demais estados do Nordeste
2025,2,2025B2,PI,Governo do Estado do Piauí,22,7872615140.82,7.87261514082,7239729034.34,0.08741847981851936,8.741847981851937,Nordeste,Demais estados do Nordeste
2026,1,2026B1,PI,Governo do Estado do Piauí,22,8698196515.3,8.6981965153,7763023360.18,0.12046507033804876,12.046507033804875,Nordeste,Demais estados do Nordeste
2026,2,2026B2,PI,Governo do Estado do Piauí,22,8900032623.95,8.90003262395,7872615140.82,0.13050523425218352,13.050523425218351,Nordeste,Demais estados do Nordeste
2023,1,2023B1,RN,Governo do Estado do Rio Grande do Norte,24,7260600385.36,7.26060038536,6918366773.26,0.04946739936118405,4.946739936118405,Nordeste,Demais estados do Nordeste
2023,2,2023B2,RN,Governo do Estado do Rio Grande do Norte,24,7282869990.76,7.28286999076,7093735239.89,0.026662223000154306,2.6662223000154306,Nordeste,Demais estados do Nordeste
2024,1,2024B1,RN,Governo do Estado do Rio Grande do Norte,24,8454105855.02,8.45410585502,7260600385.36,0.1643810988505221,16.43810988505221,Nordeste,Demais estados do Nordeste
2024,2,2024B2,RN,Governo do Estado do Rio Grande do Norte,24,8492038419.18,8.49203841918,7282869990.76,0.1660291107700822,16.60291107700822,Nordeste,Demais estados do Nordeste
