exercicio,periodo,uf,instituicao,cod_ibge,valor_bimestre,valor_bimestre_bilhoes,periodo_ref
2023,2,ES,Governo do Estado do Espírito Santo,32,2801426969.04,2.80142696904,2023B2
2024,1,ES,Governo do Estado do Espírito Santo,32,3351704126.58,3.35170412658,2024B1
2024,2,ES,Governo do Estado do Espírito Santo,32,3314532249.66,3.31453224966,2024B2
2025,1,ES,Governo do Estado do Espírito Santo,32,3532351267.31,3.53235126731,2025B1
2025,2,ES,Governo do Estado do Espírito Santo,32,3508111262.56,3.50811126256,2025B2
2026,1,ES,Governo do Estado do Espírito Santo,32,4073631260.2,4.0736312602,2026B1
2026,2,ES,Governo do Estado do Espírito Santo,32,3875839538.94,3.87583953894,2026B2
2022,1,GO,Governo do Estado de Goiás,52,3996485835.56,3.99648583556,2022B1
2022,2,GO,Governo do Estado de Goiás,52,4180401669.08,4.18040166908,2022B2
2023,1,GO,Governo do Estado de Goiás,52,3749423863.75,3.74942386375,2023B1
2023,2,GO,Governo do Estado de Goiás,52,3690614251.02,3.69061425102,2023B2
2024,1,GO,Governo do Estado de Goiás,52,4334005022.47,4.33400502247,2024B1
2024,2,GO,Governo do Estado de Goiás,52,4416526803.67,4.41652680367,2024B2
2025,1,GO,Governo do Estado de Goiás,52,4467987731.360001,4.467987731360001,2025B1
2025,2,GO,Governo do Estado de Goiás,52,4940885508.24,4.94088550824,2025B2
2026,1,GO,Governo do Estado de Goiás,52,5254712104.67,5.25471210467,2026B1
2026,2,GO,Governo do Estado de Goiás,52,5359553133.16,5.3595531331599995,2026B2
2022,1,MA,Governo do Estado do Maranhão,21,1710709122.53,1.71070912253,2022B1
2022,2,MA,Governo do Estado do Maranhão,21,1799697525.5300002,1.7996975255300003,2022B2
2023,1,MA,Governo do Estado do Maranhão,21,1580428320.42,1.58042832042,2023B1
2023,2,MA,Governo do Estado do Maranhão,21,1395002135.56,1.39500213556,2023B2
2024,1,MA,Governo do Estado do Maranhão,21,1874408723.6,1.8744087236,2024B1
2024,2,MA,Governo do Estado do Maranhão,21,2316189387.7,2.3161893876999997,2024B2
2025,1,MA,Governo do Estado do Maranhão,21,2458214946.8999996,2.4582149468999996,2025B1
2025,2,MA,Governo do Estado do Maranhão,21,2257997947.67,2.2579979476700003,2025B2
2026,1,MA,Governo do Estado do Maranhão,21,2696025841.66,2.69602584166,2026B1
2026,2,MA,Governo do Estado do Maranhão,21,2814587861.76,2.81458786176,2026B2
2022,1,MG,Governo do Estado de Minas Gerais,31,11562724618.810001,11.562724618810002,2022B1
2022,2,MG,Governo do Estado de Minas Gerais,31,11879943629.65,11.87994362965,2022B2
2023,1,MG,Governo do Estado de Minas Gerais,31,10028455358.93,10.02845535893,2023B1
2023,2,MG,Governo do Estado de Minas Gerais,31,12305108026.18,12.305108026180001,2023B2
2024,1,MG,Governo do Estado de Minas Gerais,31,12349905609.36,12.34990560936,2024B1
2024,2,MG,Governo do Estado de Minas Gerais,31,12438699111.21,12.43869911121,2024B2
2025,1,MG,Governo do Estado de Minas Gerais,31,13658201354.77,13.65820135477,2025B1
2025,2,MG,Governo do Estado de Minas Gerais,31,14096594025.66,14.09659402566,2025B2
2026,1,MG,Governo do Estado de Minas Gerais,31,13843973431.36,13.84397343136,2026B1
2026,2,MG,Governo do Estado de Minas Gerais,31,14799457476.09,14.79945747609,2026B2
2022,1,MS,Governo do Estado do Mato Grosso do Sul,50,2138437157.84,2.13843715784,2022B1
2022,2,MS,Governo do Estado do Mato Grosso do Sul,50,2306671575.89,2.30667157589,2022B2
2023,1,MS,Governo do Estado do Mato Grosso do Sul,50,2367892493.12,2.36789249312,2023B1
2023,2,MS,Governo do Estado do Mato Grosso do Sul,50,2576914419.04,2.57691441904,2023B2
2024,1,MS,Governo do Estado do Mato Grosso do Sul,50,2836972474.75,2.83697247475,2024B1
2024,2,MS,Governo do Estado do Mato Grosso do Sul,50,2708566058.4,2.7085660584,2024B2
2025,1,MS,Governo do Estado do Mato Grosso do Sul,50,2838284938.79,2.8382849387899998,2025B1
2025,2,MS,Governo do Estado do Mato Grosso do Sul,50,2922137410.81,2.92213741081,2025B2
2026,1,MS,Governo do Estado do Mato Grosso do Sul,50,2832488374.73,2.83248837473,2026B1
2026,2,MS,Governo do Estado do Mato Grosso do Sul,50,2998246756.3599997,2.9982467563599995,2026B2
2022,1,MT,Governo do Estado do Mato Grosso,51,3263420277.4700003,3.2634202774700003,2022B1
2022,2,MT,Governo do Estado do Mato Grosso,51,3241672528.2799997,3.2416725282799996,2022B2
2023,1,MT,Governo do Estado do Mato Grosso,51,3131291582.27,3.13129158227,2023B1
2023,2,MT,Governo do Estado do Mato Grosso,51,3298293132.1400003,3.2982931321400004,2023B2
2024,1,MT,Governo do Estado do Mato Grosso,51,3681553557.66,3.68155355766,2024B1
2024,2,MT,Governo do Estado do Mato Grosso,51,3453435729.99,3.45343572999,2024B2
2025,1,MT,Governo do Estado do Mato Grosso,51,3964310977.56,3.96431097756,2025B1
2025,2,MT,Governo do Estado do Mato Grosso,51,4078264392.34,4.07826439234,2025B2
2026,1,MT,Governo do Estado do Mato Grosso,51,4375728806.09,4.375728806090001,2026B1
2026,2,MT,Governo do Estado do Mato Grosso,51,4557014961.12,4.55701496112,2026B2
2022,1,PA,Governo do Estado do Pará,15,4037564482.4399996,4.03756448244,2022B1
2022,2,PA,Governo do Estado do Pará,15,3143645446.35,3.14364544635,2022B2
2023,1,PA,Governo do Estado do Pará,15,2975707100.9700003,2.9757071009700002,2023B1
2023,2,PA,Governo do Estado do Pará,15,3001460110.75,3.00146011075,2023B2
2024,1,PA,Governo do Estado do Pará,15,3785936252.5699997,3.7859362525699995,2024B1
2024,2,PA,Governo do Estado do Pará,15,3556015229.24,3.55601522924,2024B2
2025,1,PA,Governo do Estado do Pará,15,3990329826.8100004,3.9903298268100005,2025B1
2025,2,PA,Governo do Estado do Pará,15,3732680948.39,3.73268094839,2025B2
2026,1,PA,Governo do Estado do Pará,15,4207349129.83,4.20734912983,2026B1
2026,2,PA,Governo do Estado do Pará,15,4033250591.5899997,4.03325059159,2026B2
2022,1,PB,Governo do Estado da Paraíba,25,1406632256.5900002,1.4066322565900002,2022B1
2022,2,PB,Governo do Estado da Paraíba,25,1221312638.02,1.22131263802,2022B2
2023,1,PB,Governo do Estado da Paraíba,25,1332595585.63,1.33259558563,2023B1
2023,2,PB,Governo do Estado da Paraíba,25,1235403996.72,1.2354039967200001,2023B2
2024,1,PB,Governo do Estado da Paraíba,25,1539398533.13,1.5393985331300002,2024B1
2024,2,PB,Governo do Estado da Paraíba,25,1521622734.65,1.5216227346500002,2024B2
2025,1,PB,Governo do Estado da Paraíba,25,1722006708.3600001,1.7220067083600001,2025B1
2025,2,PB,Governo do Estado da Paraíba,25,1651126399.5700002,1.65112639957,2025B2
2026,1,PB,Governo do Estado da Paraíba,25,1902119353.49,1.90211935349,2026B1
2026,2,PB,Governo do Estado da Paraíba,25,1800450339.3,1.8004503393,2026B2
2022,1,PE,Governo do Estado de Pernambuco,26,3334087285.26,3.3340872852600003,2022B1
2022,2,PE,Governo do Estado de Pernambuco,26,3486283180.31,3.48628318031,2022B2
2023,1,PE,Governo do Estado de Pernambuco,26,3450766619.71,3.45076661971,2023B1
2023,2,PE,Governo do Estado de Pernambuco,26,3226218604.69,3.22621860469,2023B2
2024,1,PE,Governo do Estado de Pernambuco,26,4096357745.58,4.09635774558,2024B1
2024,2,PE,Governo do Estado de Pernambuco,26,4145970589.17,4.14597058917,2024B2
2025,1,PE,Governo do Estado de Pernambuco,26,4576247776.360001,4.576247776360001,2025B1
2025,2,PE,Governo do Estado de Pernambuco,26,4296750201.55,4.29675020155,2025B2
2026,1,PE,Governo do Estado de Pernambuco,26,4705324675.65,4.70532467565,2026B1
2026,2,PE,Governo do Estado de Pernambuco,26,4636853018.74,4.63685301874,2026B2
2022,1,PI,Governo do Estado do Piauí,22,986519046.96,0.98651904696,2022B1
2022,2,PI,Governo do Estado do Piauí,22,915060186.13,0.91506018613,2022B2
2023,1,PI,Governo do Estado do Piauí,22,959880997.9,0.9598809978999999,2023B1
2023,2,PI,Governo do Estado do Piauí,22,913290318.9200001,0.9132903189200001,2023B2
2024,1,PI,Governo do Estado do Piauí,22,1241277513.65,1.24127751365,2024B1
2024,2,PI,Governo do Estado do Piauí,22,1142332283.87,1.1423322838699999,2024B2
2025,1,PI,Governo do Estado do Piauí,22,1290484637.5700002,1.29048463757,2025B1
2025,2,PI,Governo do Estado do Piauí,22,1251924064.51,1.25192406451,2025B2
2026,1,PI,Governo do Estado do Piauí,22,1511897390.25,1.51189739025,2026B1
2026,2,PI,Governo do Estado do Piauí,22,1453760173.1599998,1.4537601731599998,2026B2
2022,1,PR,Governo do Estado do Paraná,41,7228646725.35,7.22864672535,2022B1
2022,2,PR,Governo do Estado do Paraná,41,7406247979.51,7.40624797951,2022B2
2023,1,PR,Governo do Estado do Paraná,41,6220110723.5,6.2201107235,2023B1
2023,2,PR,Governo do Estado do Paraná,41,6980127774.88,6.98012777488,2023B2
2024,1,PR,Governo do Estado do Paraná,41,7708710115.7,7.7087101157,2024B1
2024,2,PR,Governo do Estado do Paraná,41,8300446148.559999,8.300446148559999,2024B2
2025,1,PR,Governo do Estado do Paraná,41,9174247845.6,9.1742478456,2025B1
2025,2,PR,Governo do Estado do Paraná,41,8602581095,8.602581095,2025B2
2026,1,PR,Governo do Estado do Paraná,41,8982769811.02,8.98276981102,2026B1
2026,2,PR,Governo do Estado do Paraná,41,9526100602.17,9.52610060217,2026B2
2022,1,RJ,Governo do Estado do Rio de Janeiro,33,8803019583.79,8.80301958379,2022B1
2022,2,RJ,Governo do Estado do Rio de Janeiro,33,8498187449.459999,8.49818744946,2022B2
2023,1,RJ,Governo do Estado do Rio de Janeiro,33,7782274592.66,7.782274592659999,2023B1
2023,2,RJ,Governo do Estado do Rio de Janeiro,33,8054372181.68,8.05437218168,2023B2
2024,1,RJ,Governo do Estado do Rio de Janeiro,33,9398997618.61,9.39899761861,2024B1
2024,2,RJ,Governo do Estado do Rio de Janeiro,33,8810754578.789999,8.810754578789998,2024B2
2025,1,RJ,Governo do Estado do Rio de Janeiro,33,10284530071.380001,10.28453007138,2025B1
2025,2,RJ,Governo do Estado do Rio de Janeiro,33,10724498064.48,10.724498064479999,2025B2
2026,1,RJ,Governo do Estado do Rio de Janeiro,33,12619438447.79,12.619438447790001,2026B1
2026,2,RJ,Governo do Estado do Rio de Janeiro,33,12415637047.38,12.415637047379999,2026B2
2022,1,RN,Governo do Estado do Rio Grande do Norte,24,1158121857.99,1.1581218579900001,2022B1
2022,2,RN,Governo do Estado do Rio Grande do Norte,24,1212385573.87,1.2123855738699998,2022B2
2023,1,RN,Governo do Estado do Rio Grande do Norte,24,1233548316.63,1.23354831663,2023B1
2023,2,RN,Governo do Estado do Rio Grande do Norte,24,1234655179.27,1.23465517927,2023B2
2024,1,RN,Governo do Estado do Rio Grande do Norte,24,1413122982.29,1.41312298229,2024B1
2024,2,RN,Governo do Estado do Rio Grande do Norte,24,1272587743.4299998,1.27258774343,2024B2
2025,1,RN,Governo do Estado do Rio Grande do Norte,24,1523529280,1.52352928,2025B1
2025,2,RN,Governo do Estado do Rio Grande do Norte,24,1438400901.02,1.43840090102,2025B2
2026,1,RN,Governo do Estado do Rio Grande do Norte,24,1670166377.5900002,1.6701663775900002,2026B1
2026,2,RN,Governo do Estado do Rio Grande do Norte,24,1691896088.58,1.6918960885799998,2026B2
