exercicio,periodo,uf,instituicao,cod_ibge,valor_bimestre,valor_bimestre_bilhoes,periodo_ref,valor_bimestre_ano_anterior,crescimento_yoy,crescimento_yoy_pct
2026,1,BA,Governo do Estado da Bahia,29,7086187570.620001,7.086187570620001,2026B1,7105759502.36,-0.002754375761450767,-0.2754375761450767
2026,2,BA,Governo do Estado da Bahia,29,6785119706.639999,6.78511970664,2026B2,6555556179.35,0.035018161847674145,3.5018161847674145
2022,1,CE,Governo do Estado do Ceará,23,2824147572.3199997,2.82414757232,2022B1,NA,NA,NA
2022,2,CE,Governo do Estado do Ceará,23,2773841126.54,2.77384112654,2022B2,NA,NA,NA
2023,1,CE,Governo do Estado do Ceará,23,2725746822.19,2.72574682219,2023B1,2824147572.3199997,-0.034842637507488616,-3.4842637507488616
2023,2,CE,Governo do Estado do Ceará,23,2595870751.63,2.59587075163,2023B2,2773841126.54,-0.06416026253529317,-6.416026253529317
2024,1,CE,Governo do Estado do Ceará,23,3114055845.02,3.1140558450199998,2024B1,2725746822.19,0.1424596810198291,14.245968101982909
2024,2,CE,Governo do Estado do Ceará,23,3029595437.6400003,3.0295954376400003,2024B2,2595870751.63,0.16708254281830315,16.708254281830314
2025,1,CE,Governo do Estado do Ceará,23,3348960416.45,3.3489604164499998,2025B1,3114055845.02,0.075433641244957,7.5433641244956995
2025,2,CE,Governo do Estado do Ceará,23,3227057187.68,3.22705718768,2025B2,3029595437.6400003,0.06517759684567603,6.517759684567603
2026,1,CE,Governo do Estado do Ceará,23,3644301901.95,3.6443019019499996,2026B1,3348960416.45,0.08818900457864198,8.8189004578642
2026,2,CE,Governo do Estado do Ceará,23,3577929495.5299997,3.57792949553,2026B2,3227057187.68,0.10872825842365974,10.872825842365973
2022,1,DF,Governo do Distrito Federal,53,1760835901.93,1.7608359019300002,2022B1,NA,NA,NA
2022,2,DF,Governo do Distrito Federal,53,1697046203.9,1.6970462039,2022B2,NA,NA,NA
2023,1,DF,Governo do Distrito Federal,53,1579713414.9899998,1.5797134149899998,2023B1,1760835901.93,-0.10286165039086115,-10.286165039086114
2023,2,DF,Governo do Distrito Federal,53,1553232971.74,1.55323297174,2023B2,1697046203.9,-0.08474326263451248,-8.474326263451248
2024,1,DF,Governo do Distrito Federal,53,1833937629.42,1.83393762942,2024B1,1579713414.9899998,0.16093059159822953,16.093059159822953
2024,2,DF,Governo do Distrito Federal,53,1803707803.62,1.8037078036199998,2024B2,1553232971.74,0.16126031087236514,16.126031087236512
2025,1,DF,Governo do Distrito Federal,53,2013084913.2199998,2.0130849132199997,2025B1,1833937629.42,0.09768450187515731,9.768450187515732
2025,2,DF,Governo do Distrito Federal,53,1997527249.52,1.99752724952,2025B2,1803707803.62,0.10745612205647115,10.745612205647115
