exercicio;periodo;periodicidade;instituicao;cod_ibge;uf;co_poder;populacao;anexo;esfera;rotulo;coluna;cod_conta;conta;valor
2016;1;Q;Governo do Estado de Santa Catarina;42;SC;E;6819190;RGF-Anexo 01;E;Padrao;"DESPESAS LIQUIDADAS 
(a)";DespesaComPessoalBruta;DESPESA BRUTA COM PESSOAL (I);11359742414.48
2016;1;Q;Governo do Estado de Santa Catarina;42;SC;E;6819190;RGF-Anexo 01;E;Padrao;DESPESAS INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b);DespesaComPessoalBruta;DESPESA BRUTA COM PESSOAL (I);10922480.85
2016;1;Q;Governo do Estado de Santa Catarina;42;SC;E;6819190;RGF-Anexo 01;E;Padrao;"DESPESAS LIQUIDADAS 
(a)";DespesaComPessoalAtivoBruta;Pessoal Ativo;6754406772.28
2016;1;Q;Governo do Estado de Santa Catarina;42;SC;E;6819190;RGF-Anexo 01;E;Padrao;DESPESAS INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b);DespesaComPessoalAtivoBruta;Pessoal Ativo;9863495.03
2016;1;Q;Governo do Estado de Santa Catarina;42;SC;E;6819190;RGF-Anexo 01;E;Padrao;"DESPESAS LIQUIDADAS 
(a)";DespesaComPessoalInativoEPensionistasBruta;Pessoal Inativo e Pensionistas;4584127907.5
2016;1;Q;Governo do Estado de Santa Catarina;42;SC;E;6819190;RGF-Anexo 01;E;Padrao;DESPESAS INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b);DespesaComPessoalInativoEPensionistasBruta;Pessoal Inativo e Pensionistas;2059.58
2016;1;Q;Governo do Estado de Santa Catarina;42;SC;E;6819190;RGF-Anexo 01;E;Padrao;"DESPESAS LIQUIDADAS 
(a)";DespesaComPessoalDecorrenteDeTerceirizacaoPorSubstituicaoBruta;Outras Despesas de Pessoal decorrentes de Contratos de Terceirização (§ 1º do art. 18 da LRF);21207734.7
2016;1;Q;Governo do Estado de Santa Catarina;42;SC;E;6819190;RGF-Anexo 01;E;Padrao;DESPESAS INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b);DespesaComPessoalDecorrenteDeTerceirizacaoPorSubstituicaoBruta;Outras Despesas de Pessoal decorrentes de Contratos de Terceirização (§ 1º do art. 18 da LRF);1056926.24
2016;1;Q;Governo do Estado de Santa Catarina;42;SC;E;6819190;RGF-Anexo 01;E;Padrao;"DESPESAS LIQUIDADAS 
(a)";DespesaComPessoalNaoComputada;DESPESAS NÃO COMPUTADAS (§ 1º do art. 19 da LRF) (II);2045110594.82
2016;1;Q;Governo do Estado de Santa Catarina;42;SC;E;6819190;RGF-Anexo 01;E;Padrao;DESPESAS INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b);DespesaComPessoalNaoComputada;DESPESAS NÃO COMPUTADAS (§ 1º do art. 19 da LRF) (II);2059.58
2016;1;Q;Governo do Estado de Santa Catarina;42;SC;E;6819190;RGF-Anexo 01;E;Padrao;"DESPESAS LIQUIDADAS 
(a)";DespesaComPessoalNaoComputadaIndenizacaoDemissaoVoluntaria;Indenizações por Demissão e Incentivos à Demissão Voluntária;155855120.23
2016;1;Q;Governo do Estado de Santa Catarina;42;SC;E;6819190;RGF-Anexo 01;E;Padrao;"DESPESAS LIQUIDADAS 
(a)";DespesaComPessoalNaoComputadaDecisaoJudicialPeriodoAnteriorAoDaApuracao;Decorrentes de Decisão Judicial de Período Anterior ao da Apuração;54074760.04
2016;1;Q;Governo do Estado de Santa Catarina;42;SC;E;6819190;RGF-Anexo 01;E;Padrao;"DESPESAS LIQUIDADAS 
(a)";DespesaComPessoalNaoComputadaExerciciosAnterioresAoPeriodoDaApuracao;Despesas de Exercícios Anteriores de Período Anterior ao da Apuração;25630868.07
2016;1;Q;Governo do Estado de Santa Catarina;42;SC;E;6819190;RGF-Anexo 01;E;Padrao;"DESPESAS LIQUIDADAS 
(a)";DespesaComPessoalNaoComputadaInativosEPensionistasComRecursosVinculados;Inativos e Pensionistas com Recursos Vinculados;1809549846.48
2016;1;Q;Governo do Estado de Santa Catarina;42;SC;E;6819190;RGF-Anexo 01;E;Padrao;DESPESAS INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b);DespesaComPessoalNaoComputadaInativosEPensionistasComRecursosVinculados;Inativos e Pensionistas com Recursos Vinculados;2059.58
2016;1;Q;Governo do Estado de Santa Catarina;42;SC;E;6819190;RGF-Anexo 01;E;Padrao;"DESPESAS LIQUIDADAS 
(a)";DespesaComPessoalLiquida;DESPESA LÍQUIDA COM PESSOAL (III) = (I - II);9314631819.66
2016;1;Q;Governo do Estado de Santa Catarina;42;SC;E;6819190;RGF-Anexo 01;E;Padrao;DESPESAS INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b);DespesaComPessoalLiquida;DESPESA LÍQUIDA COM PESSOAL (III) = (I - II);10920421.27
2016;1;Q;Governo do Estado de Santa Catarina;42;SC;E;6819190;RGF-Anexo 01;E;Padrao;Valor;ReceitaCorrenteLiquidaLimiteLegal;RECEITA CORRENTE LIQUIDA - RCL (IV);19795816098.69
2016;1;Q;Governo do Estado de Santa Catarina;42;SC;E;6819190;RGF-Anexo 01;E;Padrao;Valor;DespesaComPessoalTotal;DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b);9325552240.93
2016;1;Q;Governo do Estado de Santa Catarina;42;SC;E;6819190;RGF-Anexo 01;E;Padrao;% sobre a RCL;DespesaComPessoalTotal;DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b);47.11
2016;1;Q;Governo do Estado de Santa Catarina;42;SC;E;6819190;RGF-Anexo 01;E;Padrao;Valor;LimiteMaximoDespesaComPessoalTotal;LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF);9699949888.36
2016;1;Q;Governo do Estado de Santa Catarina;42;SC;E;6819190;RGF-Anexo 01;E;Padrao;% sobre a RCL;LimiteMaximoDespesaComPessoalTotal;LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF);49.0
2016;1;Q;Governo do Estado de Santa Catarina;42;SC;E;6819190;RGF-Anexo 01;E;Padrao;Valor;LimitePrudencialDespesaComPessoalTotal;LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF);9214952393.94
2016;1;Q;Governo do Estado de Santa Catarina;42;SC;E;6819190;RGF-Anexo 01;E;Padrao;% sobre a RCL;LimitePrudencialDespesaComPessoalTotal;LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF);46.55
2016;1;Q;Governo do Estado de Santa Catarina;42;SC;E;6819190;RGF-Anexo 01;E;Padrao;Valor;LimiteDeAlertaDespesaComPessoalTotal;LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF);8729954899.52
2016;1;Q;Governo do Estado de Santa Catarina;42;SC;E;6819190;RGF-Anexo 01;E;Padrao;% sobre a RCL;LimiteDeAlertaDespesaComPessoalTotal;LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF);44.1
2016;1;Q;Governo do Estado de Santa Catarina;42;SC;E;6819190;RGF-Anexo 02;E;Padrao;SALDO DO EXERCÍCIO ANTERIOR;DividaConsolidada;DÍVIDA CONSOLIDADA - DC (I);21025026280.98
2016;1;Q;Governo do Estado de Santa Catarina;42;SC;E;6819190;RGF-Anexo 02;E;Padrao;Até o 1º Quadrimestre;DividaConsolidada;DÍVIDA CONSOLIDADA - DC (I);21209634251.73
