exercicio;periodo;periodicidade;instituicao;cod_ibge;uf;co_poder;populacao;anexo;esfera;rotulo;coluna;cod_conta;conta;valor
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 01;E;;LIQUIDADAS (a);DespesaComPessoalBruta;DESPESA BRUTA COM PESSOAL (I);3577585545.88
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 01;E;;INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b);DespesaComPessoalBruta;DESPESA BRUTA COM PESSOAL (I);15817506.4
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 01;E;;LIQUIDADAS (a);DespesaComPessoalAtivoBruta;Pessoal Ativo;3200498432.57
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 01;E;;INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b);DespesaComPessoalAtivoBruta;Pessoal Ativo;13183934.4
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 01;E;;LIQUIDADAS (a);DespesaComPessoalInativoEPensionistasBruta;Pessoal Inativo e Pensionistas;348296927.95
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 01;E;;LIQUIDADAS (a);DespesaComPessoalDecorrenteDeTerceirizacaoPorSubstituicaoBruta;Outras Despesas de Pessoal decorrentes de Contratos de Terceirização (§ 1º do art. 18 da LRF);28790185.36
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 01;E;;INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b);DespesaComPessoalDecorrenteDeTerceirizacaoPorSubstituicaoBruta;Outras Despesas de Pessoal decorrentes de Contratos de Terceirização (§ 1º do art. 18 da LRF);2633572.0
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 01;E;;LIQUIDADAS (a);DespesaComPessoalNaoComputada;DESPESAS NÃO COMPUTADAS (§ 1º do art. 19 da LRF) (II);415653624.78
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 01;E;;LIQUIDADAS (a);DespesaComPessoalNaoComputadaIndenizacaoDemissaoVoluntaria;Indenizações por Demissão e Incentivos à Demissão Voluntária;15252251.92
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 01;E;;LIQUIDADAS (a);DespesaComPessoalNaoComputadaDecisaoJudicialPeriodoAnteriorAoDaApuracao;Decorrentes de Decisão Judicial de Período Anterior ao da Apuração;27002341.76
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 01;E;;LIQUIDADAS (a);DespesaComPessoalNaoComputadaExerciciosAnterioresAoPeriodoDaApuracao;Despesas de Exercícios Anteriores de Período Anterior ao da Apuração;34183784.98
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 01;E;;LIQUIDADAS (a);DespesaComPessoalNaoComputadaInativosEPensionistasComRecursosVinculados;Inativos e Pensionistas com Recursos Vinculados;339215246.12
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 01;E;;LIQUIDADAS (a);DespesaComPessoalLiquida;DESPESA LÍQUIDA COM PESSOAL (III) = (I - II);3161931921.1
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 01;E;;INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b);DespesaComPessoalLiquida;DESPESA LÍQUIDA COM PESSOAL (III) = (I - II);15817506.4
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 01;E;;Valor;ReceitaCorrenteLiquidaLimiteLegal;RECEITA CORRENTE LIQUIDA - RCL (IV);5724914098.71
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 01;E;;Valor;DespesaComPessoalTotal;DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b);3177749427.5
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 01;E;;% sobre a RCL;DespesaComPessoalTotal;DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b);55.51
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 01;E;;Valor;LimiteMaximoDespesaComPessoalTotal;LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF);3434948459.23
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 01;E;;% sobre a RCL;LimiteMaximoDespesaComPessoalTotal;LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF);60.0
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 01;E;;Valor;LimitePrudencialDespesaComPessoalTotal;LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF);3263201036.27
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 01;E;;% sobre a RCL;LimitePrudencialDespesaComPessoalTotal;LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF);57.0
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 01;E;;Valor;LimiteDeAlertaDespesaComPessoalTotal;LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF);3091453613.31
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 01;E;;% sobre a RCL;LimiteDeAlertaDespesaComPessoalTotal;LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF);54.0
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 02;E;;SALDO DO EXERCÍCIO ANTERIOR;DividaConsolidada;DÍVIDA CONSOLIDADA - DC (I);3960149690.45
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 02;E;;Até o 1º Quadrimestre;DividaConsolidada;DÍVIDA CONSOLIDADA - DC (I);4049657056.42
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 02;E;;Até o 2º Quadrimestre;DividaConsolidada;DÍVIDA CONSOLIDADA - DC (I);4022560108.26
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 02;E;;SALDO DO EXERCÍCIO ANTERIOR;DividaContratual;Dívida Contratual;2602325705.82
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 02;E;;Até o 1º Quadrimestre;DividaContratual;Dívida Contratual;2709026311.58
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 02;E;;Até o 2º Quadrimestre;DividaContratual;Dívida Contratual;2710179206.94
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 02;E;;SALDO DO EXERCÍCIO ANTERIOR;DividaContratualInterna;Interna;2599822627.87
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 02;E;;Até o 1º Quadrimestre;DividaContratualInterna;Interna;2700431688.73
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 02;E;;Até o 2º Quadrimestre;DividaContratualInterna;Interna;2701584584.09
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 02;E;;SALDO DO EXERCÍCIO ANTERIOR;DividaContratualExterna;Externa;2503077.95
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 02;E;;Até o 1º Quadrimestre;DividaContratualExterna;Externa;8594622.85
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 02;E;;Até o 2º Quadrimestre;DividaContratualExterna;Externa;8594622.85
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 02;E;;SALDO DO EXERCÍCIO ANTERIOR;PrecatoriosPosterioresA05052000VencidosENaoPagos;Precatórios Posteriores a 05/05/2000 Vencidos e Não Pagos;1357823984.63
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 02;E;;Até o 1º Quadrimestre;PrecatoriosPosterioresA05052000VencidosENaoPagos;Precatórios Posteriores a 05/05/2000 Vencidos e Não Pagos;1340630744.84
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 02;E;;Até o 2º Quadrimestre;PrecatoriosPosterioresA05052000VencidosENaoPagos;Precatórios Posteriores a 05/05/2000 Vencidos e Não Pagos;1312380901.32
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 02;E;;SALDO DO EXERCÍCIO ANTERIOR;DeducoesDaDividaConsolidada;DEDUÇÕES (II);359463959.99
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 02;E;;Até o 1º Quadrimestre;DeducoesDaDividaConsolidada;DEDUÇÕES (II);744867865.93
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 02;E;;Até o 2º Quadrimestre;DeducoesDaDividaConsolidada;DEDUÇÕES (II);860664354.18
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 02;E;;SALDO DO EXERCÍCIO ANTERIOR;DisponibilidadeDeCaixaBruta;Disponibilidade de Caixa Bruta;585279470.85
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 02;E;;Até o 1º Quadrimestre;DisponibilidadeDeCaixaBruta;Disponibilidade de Caixa Bruta;829367082.11
2015;2;Q;Governo do Estado de Rondônia;11;RO;E;1748531;RGF-Anexo 02;E;;Até o 2º Quadrimestre;DisponibilidadeDeCaixaBruta;Disponibilidade de Caixa Bruta;921904444.27
