exercicio;demonstrativo;periodo;periodicidade;instituicao;cod_ibge;uf;populacao;anexo;esfera;rotulo;coluna;cod_conta;conta;valor
2026;RREO;1;B;Governo do Estado de São Paulo;35;SP;46024937;RREO-Anexo 01;E;Padrão;PREVISÃO INICIAL;ReceitasExcetoIntraOrcamentarias;RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);382313590500.0
2026;RREO;1;B;Governo do Estado de São Paulo;35;SP;46024937;RREO-Anexo 01;E;Padrão;PREVISÃO ATUALIZADA (a);ReceitasExcetoIntraOrcamentarias;RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);382313590500.0
2026;RREO;1;B;Governo do Estado de São Paulo;35;SP;46024937;RREO-Anexo 01;E;Padrão;No Bimestre (b);ReceitasExcetoIntraOrcamentarias;RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);67810711046.72
2026;RREO;1;B;Governo do Estado de São Paulo;35;SP;46024937;RREO-Anexo 01;E;Padrão;% (b/a);ReceitasExcetoIntraOrcamentarias;RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);17.74
2026;RREO;1;B;Governo do Estado de São Paulo;35;SP;46024937;RREO-Anexo 01;E;Padrão;Até o Bimestre (c);ReceitasExcetoIntraOrcamentarias;RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);67810711046.72
2026;RREO;1;B;Governo do Estado de São Paulo;35;SP;46024937;RREO-Anexo 01;E;Padrão;% (c/a);ReceitasExcetoIntraOrcamentarias;RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);17.74
2026;RREO;1;B;Governo do Estado de São Paulo;35;SP;46024937;RREO-Anexo 01;E;Padrão;SALDO (a-c);ReceitasExcetoIntraOrcamentarias;RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);314502879453.28
2026;RREO;1;B;Governo do Estado de São Paulo;35;SP;46024937;RREO-Anexo 01;E;Padrão;PREVISÃO INICIAL;ReceitasCorrentes;RECEITAS CORRENTES;364395361628.0
2026;RREO;1;B;Governo do Estado de São Paulo;35;SP;46024937;RREO-Anexo 01;E;Padrão;PREVISÃO ATUALIZADA (a);ReceitasCorrentes;RECEITAS CORRENTES;364395361628.0
2026;RREO;1;B;Governo do Estado de São Paulo;35;SP;46024937;RREO-Anexo 01;E;Padrão;No Bimestre (b);ReceitasCorrentes;RECEITAS CORRENTES;67017774312.09
2026;RREO;1;B;Governo do Estado de São Paulo;35;SP;46024937;RREO-Anexo 01;E;Padrão;% (b/a);ReceitasCorrentes;RECEITAS CORRENTES;18.39
2026;RREO;1;B;Governo do Estado de São Paulo;35;SP;46024937;RREO-Anexo 01;E;Padrão;Até o Bimestre (c);ReceitasCorrentes;RECEITAS CORRENTES;67017774312.09
2026;RREO;1;B;Governo do Estado de São Paulo;35;SP;46024937;RREO-Anexo 01;E;Padrão;% (c/a);ReceitasCorrentes;RECEITAS CORRENTES;18.39
2026;RREO;1;B;Governo do Estado de São Paulo;35;SP;46024937;RREO-Anexo 01;E;Padrão;SALDO (a-c);ReceitasCorrentes;RECEITAS CORRENTES;297377587315.91
2026;RREO;1;B;Governo do Estado de São Paulo;35;SP;46024937;RREO-Anexo 01;E;Padrão;PREVISÃO INICIAL;ReceitaTributaria;IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA;284066745206.0
2026;RREO;1;B;Governo do Estado de São Paulo;35;SP;46024937;RREO-Anexo 01;E;Padrão;PREVISÃO ATUALIZADA (a);ReceitaTributaria;IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA;284066745206.0
2026;RREO;1;B;Governo do Estado de São Paulo;35;SP;46024937;RREO-Anexo 01;E;Padrão;No Bimestre (b);ReceitaTributaria;IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA;53796005512.49
2026;RREO;1;B;Governo do Estado de São Paulo;35;SP;46024937;RREO-Anexo 01;E;Padrão;% (b/a);ReceitaTributaria;IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA;18.94
2026;RREO;1;B;Governo do Estado de São Paulo;35;SP;46024937;RREO-Anexo 01;E;Padrão;Até o Bimestre (c);ReceitaTributaria;IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA;53796005512.49
2026;RREO;1;B;Governo do Estado de São Paulo;35;SP;46024937;RREO-Anexo 01;E;Padrão;% (c/a);ReceitaTributaria;IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA;18.94
2026;RREO;1;B;Governo do Estado de São Paulo;35;SP;46024937;RREO-Anexo 01;E;Padrão;SALDO (a-c);ReceitaTributaria;IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA;230270739693.51
2026;RREO;1;B;Governo do Estado de São Paulo;35;SP;46024937;RREO-Anexo 01;E;Padrão;PREVISÃO INICIAL;Impostos;Impostos;269654981499.0
2026;RREO;1;B;Governo do Estado de São Paulo;35;SP;46024937;RREO-Anexo 01;E;Padrão;PREVISÃO ATUALIZADA (a);Impostos;Impostos;269654981499.0
2026;RREO;1;B;Governo do Estado de São Paulo;35;SP;46024937;RREO-Anexo 01;E;Padrão;No Bimestre (b);Impostos;Impostos;51223102173.62
2026;RREO;1;B;Governo do Estado de São Paulo;35;SP;46024937;RREO-Anexo 01;E;Padrão;% (b/a);Impostos;Impostos;19.0
2026;RREO;1;B;Governo do Estado de São Paulo;35;SP;46024937;RREO-Anexo 01;E;Padrão;Até o Bimestre (c);Impostos;Impostos;51223102173.62
