exercicio;demonstrativo;periodo;periodicidade;instituicao;cod_ibge;uf;populacao;anexo;esfera;rotulo;coluna;cod_conta;conta;valor
2015;RREO;1;B;Governo do Estado de Roraima;14;RR;496936;RREO-Anexo 01;E;;PREVISÃO INICIAL;ReceitasExcetoIntraOrcamentarias;RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);2917528524.0
2015;RREO;1;B;Governo do Estado de Roraima;14;RR;496936;RREO-Anexo 01;E;;PREVISÃO ATUALIZADA (a);ReceitasExcetoIntraOrcamentarias;RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);2917528524.0
2015;RREO;1;B;Governo do Estado de Roraima;14;RR;496936;RREO-Anexo 01;E;;No Bimestre (b);ReceitasExcetoIntraOrcamentarias;RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);589814097.93
2015;RREO;1;B;Governo do Estado de Roraima;14;RR;496936;RREO-Anexo 01;E;;% (b/a);ReceitasExcetoIntraOrcamentarias;RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);20.22
2015;RREO;1;B;Governo do Estado de Roraima;14;RR;496936;RREO-Anexo 01;E;;Até o Bimestre (c);ReceitasExcetoIntraOrcamentarias;RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);589814097.93
2015;RREO;1;B;Governo do Estado de Roraima;14;RR;496936;RREO-Anexo 01;E;;% (c/a);ReceitasExcetoIntraOrcamentarias;RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);20.22
2015;RREO;1;B;Governo do Estado de Roraima;14;RR;496936;RREO-Anexo 01;E;;SALDO (a-c);ReceitasExcetoIntraOrcamentarias;RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);2327714426.07
2015;RREO;1;B;Governo do Estado de Roraima;14;RR;496936;RREO-Anexo 01;E;;PREVISÃO INICIAL;ReceitasCorrentes;RECEITAS CORRENTES;2880551327.0
2015;RREO;1;B;Governo do Estado de Roraima;14;RR;496936;RREO-Anexo 01;E;;PREVISÃO ATUALIZADA (a);ReceitasCorrentes;RECEITAS CORRENTES;2880551327.0
2015;RREO;1;B;Governo do Estado de Roraima;14;RR;496936;RREO-Anexo 01;E;;No Bimestre (b);ReceitasCorrentes;RECEITAS CORRENTES;587081472.13
2015;RREO;1;B;Governo do Estado de Roraima;14;RR;496936;RREO-Anexo 01;E;;% (b/a);ReceitasCorrentes;RECEITAS CORRENTES;20.38
2015;RREO;1;B;Governo do Estado de Roraima;14;RR;496936;RREO-Anexo 01;E;;Até o Bimestre (c);ReceitasCorrentes;RECEITAS CORRENTES;587081472.13
2015;RREO;1;B;Governo do Estado de Roraima;14;RR;496936;RREO-Anexo 01;E;;% (c/a);ReceitasCorrentes;RECEITAS CORRENTES;20.38
2015;RREO;1;B;Governo do Estado de Roraima;14;RR;496936;RREO-Anexo 01;E;;SALDO (a-c);ReceitasCorrentes;RECEITAS CORRENTES;2293469854.87
